'Customer ID',Recency,Frequency,MonetaryValue,Recency_score,Frequency_score,Monetary_score,cluster,ChurnRisk_description
13085,153,8,2433.28,3,4,4,cluster2,'Baixo Risco'
13078,5,56,28693.37,5,5,5,cluster1,'Muito Baixo Risco'
15362,444,2,613.08,1,2,3,cluster3,'Alto Risco'
18102,7,142,597336.11,5,5,5,cluster1,'Muito Baixo Risco'
12682,4,51,23397.28,5,5,5,cluster1,'Muito Baixo Risco'
18087,93,17,14761.52,3,5,5,cluster2,'Baixo Risco'
13635,63,4,2999.16,3,3,5,cluster5,'Baixo Risco'
14110,17,32,12662.51,5,5,5,cluster1,'Muito Baixo Risco'
12636,734,1,141,1,1,1,cluster3,'Muito Alto Risco'
17519,12,15,5109.47,5,5,5,cluster1,'Muito Baixo Risco'
13758,7,15,9416.98,5,5,5,cluster1,'Muito Baixo Risco'
12362,31,10,4827.19,4,5,5,cluster1,'Muito Baixo Risco'
15413,687,5,6798.72,1,4,5,cluster2,'Médio Risco'
16321,67,7,604.55,3,4,2,cluster2,'Baixo Risco'
16167,409,5,1386.12,1,4,4,cluster2,'Médio Risco'
17865,26,46,26374.39,4,5,5,cluster1,'Muito Baixo Risco'
17592,734,1,148.3,1,1,1,cluster3,'Muito Alto Risco'
13767,21,72,34654.55,4,5,5,cluster1,'Muito Baixo Risco'
17238,2,31,7644.43,5,5,5,cluster1,'Muito Baixo Risco'
15712,4,12,3472.41,5,5,5,cluster1,'Muito Baixo Risco'
15311,2,206,115847.2,5,5,5,cluster1,'Muito Baixo Risco'
16329,423,4,1703.07,1,3,4,cluster3,'Médio Risco'
17700,12,14,6679.97,5,5,5,cluster1,'Muito Baixo Risco'
14911,3,391,289670.66,5,5,5,cluster1,'Muito Baixo Risco'
15998,32,16,8308.34,4,5,5,cluster1,'Muito Baixo Risco'
12931,17,57,92347.34,5,5,5,cluster1,'Muito Baixo Risco'
12533,623,2,1367.89,1,2,4,cluster3,'Alto Risco'
17984,140,5,1191.27,3,4,3,cluster2,'Baixo Risco'
14871,174,8,1091.34,3,4,3,cluster2,'Baixo Risco'
13394,49,18,6319.6,4,5,5,cluster1,'Muito Baixo Risco'
16011,3,29,5880.46,5,5,5,cluster1,'Muito Baixo Risco'
16393,6,22,5254.96,5,5,5,cluster1,'Muito Baixo Risco'
14040,36,35,12645.57,4,5,5,cluster1,'Muito Baixo Risco'
12913,11,12,6165.76,5,5,5,cluster1,'Muito Baixo Risco'
15061,6,126,133922.66,5,5,5,cluster1,'Muito Baixo Risco'
14341,40,18,4467.32,4,5,5,cluster1,'Muito Baixo Risco'
17804,371,3,385.23,2,3,2,cluster5,'Médio Risco'
14156,5,156,313946.37,5,5,5,cluster1,'Muito Baixo Risco'
13599,4,32,10052.17,5,5,5,cluster1,'Muito Baixo Risco'
17063,16,13,3638.53,5,5,5,cluster1,'Muito Baixo Risco'
15719,28,31,10223.06,4,5,5,cluster1,'Muito Baixo Risco'
12490,13,20,9361.34,5,5,5,cluster1,'Muito Baixo Risco'
15793,10,8,2399.57,5,4,4,cluster1,'Muito Baixo Risco'
17056,734,1,128.6,1,1,1,cluster3,'Muito Alto Risco'
13526,734,2,1182,1,2,3,cluster3,'Alto Risco'
14654,734,1,246.86,1,1,1,cluster3,'Muito Alto Risco'
17998,375,3,639.24,2,3,3,cluster5,'Médio Risco'
