'Customer ID',Recency,Frequency,MonetaryValue,Recency_score,Frequency_score,Monetary_score,cluster,ChurnRisk_description
12493,161,2,433.74,3,2,2,cluster4,'Médio Risco'
18232,77,4,592.97,3,3,2,cluster5,'Médio Risco'
18073,109,12,3877.52,3,5,5,cluster2,'Baixo Risco'
14280,192,1,134.04,3,1,1,cluster4,'Alto Risco'
14823,176,3,321.43,3,3,2,cluster5,'Médio Risco'
15897,189,2,222.05,3,2,1,cluster4,'Médio Risco'
15925,189,1,207.15,3,1,1,cluster4,'Alto Risco'
16483,188,1,139.35,3,1,1,cluster4,'Alto Risco'
15163,14,2,304.47,5,2,2,cluster4,'Baixo Risco'
18204,66,3,1993.7,3,3,4,cluster5,'Baixo Risco'
12473,24,5,3938.55,4,4,5,cluster1,'Muito Baixo Risco'
16969,35,3,650.41,4,3,3,cluster5,'Baixo Risco'
13917,45,2,272.04,4,2,1,cluster4,'Médio Risco'
13062,186,1,346.98,3,1,2,cluster4,'Médio Risco'
16484,169,2,404.3,3,2,2,cluster4,'Médio Risco'
14453,185,1,119.93,3,1,1,cluster4,'Alto Risco'
17900,185,2,112.2,3,2,1,cluster4,'Médio Risco'
13437,9,7,3408.06,5,4,5,cluster1,'Muito Baixo Risco'
12517,23,5,2502.84,4,4,4,cluster1,'Muito Baixo Risco'
14500,83,3,356.85,3,3,2,cluster5,'Médio Risco'
13248,120,2,465.68,3,2,2,cluster4,'Médio Risco'
16967,184,1,319.02,3,1,2,cluster4,'Médio Risco'
16659,184,1,39.12,3,1,1,cluster4,'Alto Risco'
16682,52,4,917.14,4,3,3,cluster5,'Baixo Risco'
15453,31,6,1253.09,4,4,4,cluster1,'Muito Baixo Risco'
16963,182,1,110.55,3,1,1,cluster4,'Alto Risco'
13682,182,1,59.5,3,1,1,cluster4,'Alto Risco'
15349,153,2,473.81,3,2,2,cluster4,'Médio Risco'
16849,182,1,124.57,3,1,1,cluster4,'Alto Risco'
12535,87,2,716.35,3,2,3,cluster4,'Médio Risco'
18248,118,2,804.02,3,2,3,cluster4,'Médio Risco'
15386,181,1,394.14,3,1,2,cluster4,'Médio Risco'
17252,112,2,353.86,3,2,2,cluster4,'Médio Risco'
14542,181,1,103.25,3,1,1,cluster4,'Alto Risco'
18072,181,1,247.44,3,1,1,cluster4,'Alto Risco'
17015,24,3,1842.56,4,3,4,cluster5,'Baixo Risco'
17124,180,1,298.89,3,1,2,cluster4,'Médio Risco'
17828,18,4,1820.09,5,3,4,cluster5,'Muito Baixo Risco'
15743,11,4,784.46,5,3,3,cluster5,'Baixo Risco'
14622,180,1,320.58,3,1,2,cluster4,'Médio Risco'
15609,180,1,298.48,3,1,2,cluster4,'Médio Risco'
14561,71,3,1080.76,3,3,3,cluster5,'Médio Risco'
15238,24,3,1071.99,4,3,3,cluster5,'Baixo Risco'
14132,10,10,3270.9,5,5,5,cluster1,'Muito Baixo Risco'
16113,178,1,161.38,3,1,1,cluster4,'Alto Risco'
16107,13,7,3204.16,5,4,5,cluster1,'Muito Baixo Risco'
15679,19,4,781.28,5,3,3,cluster5,'Baixo Risco'
16581,178,1,105.84,3,1,1,cluster4,'Alto Risco'
15267,17,5,1717.36,5,4,4,cluster1,'Muito Baixo Risco'
17234,178,1,149.89,3,1,1,cluster4,'Alto Risco'
15411,21,4,1358.88,4,3,4,cluster5,'Baixo Risco'
14178,4,7,1620.93,5,4,4,cluster1,'Muito Baixo Risco'
15098,177,3,39916.5,3,3,5,cluster5,'Baixo Risco'
17265,134,2,562.9,3,2,2,cluster4,'Médio Risco'
13517,55,3,2128.42,4,3,4,cluster5,'Baixo Risco'
16342,70,4,322.41,3,3,2,cluster5,'Médio Risco'
12732,175,1,236.26,3,1,1,cluster4,'Alto Risco'
15036,67,3,465.55,3,3,2,cluster5,'Médio Risco'
15069,174,1,1109.53,3,1,3,cluster4,'Médio Risco'
14503,2,5,3205.51,5,4,5,cluster1,'Muito Baixo Risco'
13343,173,1,353.43,3,1,2,cluster4,'Médio Risco'
12624,101,2,641.13,3,2,3,cluster4,'Médio Risco'
18165,172,1,302.46,3,1,2,cluster4,'Médio Risco'
16324,124,3,428.68,3,3,2,cluster5,'Médio Risco'
14222,172,1,683.17,3,1,3,cluster4,'Médio Risco'
15585,172,1,455.3,3,1,2,cluster4,'Médio Risco'
16257,172,1,46.95,3,1,1,cluster4,'Alto Risco'
