@relation 90_dados_treino

@attribute 'Customer ID' numeric
@attribute Recency numeric
@attribute Frequency numeric
@attribute MonetaryValue numeric
@attribute Recency_score {1,2,3,4,5}
@attribute Frequency_score {1,2,3,4,5}
@attribute Monetary_score {1,2,3,4,5}
@attribute cluster {cluster1,cluster2,cluster3,cluster4,cluster5}
@attribute ChurnRisk_description {'Muito Baixo Risco', 'Baixo Risco','Médio Risco','Alto Risco','Muito Alto Risco'}

@data
17829,294,5,4756.74,2,4,5,cluster2,'Baixo Risco'
13513,122,3,824.59,3,3,3,cluster5,'Médio Risco'
12727,6,10,5679.53,5,5,5,cluster1,'Muito Baixo Risco'
17667,61,9,3950.7,3,5,5,cluster2,'Baixo Risco'
13330,88,6,2806.18,3,4,4,cluster2,'Baixo Risco'
15493,28,9,4314.98,4,5,5,cluster1,'Muito Baixo Risco'
16416,22,9,2972.88,4,5,5,cluster1,'Muito Baixo Risco'
13052,207,7,3168.53,2,4,5,cluster2,'Baixo Risco'
14726,650,1,124.75,1,1,1,cluster3,'Muito Alto Risco'
15295,650,1,217.24,1,1,1,cluster3,'Muito Alto Risco'
13772,29,8,3114.22,4,4,5,cluster1,'Muito Baixo Risco'
15241,62,11,3050.16,3,5,5,cluster2,'Baixo Risco'
14112,18,13,5834.59,5,5,5,cluster1,'Muito Baixo Risco'
13490,649,1,154.25,1,1,1,cluster3,'Muito Alto Risco'
15955,19,22,8658.36,5,5,5,cluster1,'Muito Baixo Risco'
14681,66,6,875.15,3,4,3,cluster2,'Baixo Risco'
15290,3,24,10233.26,5,5,5,cluster1,'Muito Baixo Risco'
16388,649,1,186.05,1,1,1,cluster3,'Muito Alto Risco'
12482,571,29,23691.4,1,5,5,cluster2,'Médio Risco'
16406,14,3,552.68,5,3,2,cluster5,'Baixo Risco'
12998,488,3,920.08,1,3,3,cluster3,'Alto Risco'
15439,400,4,1269.05,2,3,4,cluster5,'Médio Risco'
14284,26,3,1299.65,4,3,4,cluster5,'Baixo Risco'
12909,35,8,3103.19,4,4,5,cluster1,'Muito Baixo Risco'
15659,39,3,532.49,4,3,2,cluster5,'Baixo Risco'
13765,648,1,352.821,1,1,2,cluster3,'Alto Risco'
15058,20,16,3410.03,4,5,5,cluster1,'Muito Baixo Risco'
16208,40,10,3440.45,4,5,5,cluster1,'Muito Baixo Risco'
13944,648,1,200.43,1,1,1,cluster3,'Muito Alto Risco'
14535,55,9,6030.73,4,5,5,cluster1,'Muito Baixo Risco'
13469,648,1,82.4,1,1,1,cluster3,'Muito Alto Risco'
13104,42,8,1369.62,4,4,4,cluster1,'Muito Baixo Risco'
17358,298,5,866.05,2,4,3,cluster2,'Médio Risco'
16118,648,1,4376.25,1,1,5,cluster3,'Alto Risco'
14006,111,7,2196.67,3,4,4,cluster2,'Baixo Risco'
16471,270,4,1189.98,2,3,3,cluster5,'Médio Risco'
14740,192,11,4161.06,3,5,5,cluster2,'Baixo Risco'
18009,230,8,2155.83,2,4,4,cluster2,'Baixo Risco'
17863,54,12,5745.2,4,5,5,cluster1,'Muito Baixo Risco'
13334,77,5,6263.75,3,4,5,cluster2,'Baixo Risco'
13771,59,9,5728.82,4,5,5,cluster1,'Muito Baixo Risco'
13240,91,8,1738.52,3,4,4,cluster2,'Baixo Risco'
14402,647,1,285.6,1,1,1,cluster3,'Muito Alto Risco'
17200,383,4,356.71,2,3,2,cluster5,'Médio Risco'
13935,592,3,6116.92,1,3,5,cluster3,'Médio Risco'
16677,406,2,880.62,2,2,3,cluster3,'Médio Risco'
17534,49,5,1668.83,4,4,4,cluster1,'Muito Baixo Risco'
13652,41,5,2570.85,4,4,4,cluster1,'Muito Baixo Risco'
14770,227,8,3637.64,2,4,5,cluster2,'Baixo Risco'
17207,647,1,303.22,1,1,2,cluster3,'Alto Risco'
17883,9,6,810.98,5,4,3,cluster1,'Muito Baixo Risco'
17011,25,3,671.7,4,3,3,cluster5,'Baixo Risco'
15366,70,7,2389.08,3,4,4,cluster2,'Baixo Risco'
16631,477,7,1892.52,1,4,4,cluster2,'Médio Risco'
15124,18,4,450.82,5,3,2,cluster5,'Baixo Risco'
13598,42,5,789.59,4,4,3,cluster1,'Baixo Risco'
14177,81,13,2229.34,3,5,4,cluster2,'Baixo Risco'
16913,286,3,423.91,2,3,2,cluster5,'Médio Risco'
14459,150,2,5375.741,3,2,5,cluster4,'Baixo Risco'
15477,645,1,368.4,1,1,2,cluster3,'Alto Risco'
15569,99,10,3586.35,3,5,5,cluster2,'Baixo Risco'
15149,129,5,1554.61,3,4,4,cluster2,'Baixo Risco'
14807,386,2,519.29,2,2,2,cluster3,'Alto Risco'
18046,645,1,189.63,1,1,1,cluster3,'Muito Alto Risco'
17760,17,6,918.93,5,4,3,cluster1,'Muito Baixo Risco'
